username,from,campaigndate,sent_count,delivered_count,submitted_count,failed_count,total base,wabacount,nonwabacount
AryansgroupWapp,919646699888,2024-11-25,0,5,0,0,5,5,0
FatakPayWapp1,919820476476,2024-11-26,7827,89564,1,24754,122146,115331,6815
MiabyTanishqWapp,918147747803,2024-11-16,0,1,0,0,1,1,0
Imagine_WSOFT,917795967412,2024-11-17,0,0,0,671,671,671,0
AryansgroupWapp,919646699888,2024-11-17,0,3,0,0,3,3,0
FastrakEyewerWa_MOE,918951985791,2024-11-17,249,10364,0,4902,15515,14857,658
KaamProKaamPro_tech8662Wapp,917240066111,2024-11-18,0,3,0,0,3,3,0
MiabyTanishqWapp,918147747803,2024-11-18,0,7,0,0,7,7,0
V2RetailWapp,918130907705,2024-11-19,1,318,0,17,336,319,17
FatakPayWapp1,919820476476,2024-11-19,1534,24573,0,27704,53811,51913,1898
lendingplateMarketing8652Wapp,919266842428,2024-11-19,0,6,0,0,6,6,0
CarzonrentWapp,918882222222,2024-11-19,27,2216,0,617,2860,2545,315
Soundscap_WSOFT,919606018595,2024-11-20,0,10,0,8,18,16,2
ManipalBusinessSolutions6192Wapp,918448441789,2024-11-20,0,3,0,8,11,10,1
TitanEncircle,918147745515,2024-11-20,1,10,0,48,59,59,0
IcatWapp,917824831993,2024-11-21,142,8463,1,644,9250,8611,639
VEROMODAWapp,918655628865,2024-11-22,10477,90294,0,30011,130782,130230,552
SoundscapeWapp,918951928366,2024-11-22,2,10,0,60,72,68,4
KASHTIFINSERV1698Wapp,919980123052,2024-11-22,0,32,0,37,69,55,14
SoundscapeWapp,917795967414,2024-11-22,1,83,0,50,134,130,4
ManipalBusinessSolutions6192Wapp,918448441789,2024-11-22,0,3,0,5,8,8,0
FastrakEyewerWa_MOE,918951985791,2024-11-23,386,15264,0,7491,23141,22093,1048
SoundscapeWapp,917795967414,2024-11-23,987,20678,0,20342,42007,37112,4895
TaruniClothing3031Wapp,919100011970,2024-11-23,236,9576,0,15283,25095,23043,2052
VEROMODAGIRLEmbWapp,918655913950,2024-11-23,43,432,0,1207,1682,1663,19
VEROMODAWapp,918655628709,2024-11-23,410,5332,0,3020,8762,8760,2
Soundscap_WSOFT,919606018595,2024-11-24,0,12,0,14,26,25,1
SoundscapeWapp,917795967414,2024-11-24,2,40,0,32,74,72,2
MediScanWapp,919148229992,2024-11-24,4,199,0,41,244,233,11
Soundscap_WSOFT,919606018595,2024-11-25,0,6,0,4,10,9,1
DeltaDiagnosticWapp,919900009407,2024-11-25,2,113,0,8,123,115,8
TitanEncircle,918147745515,2024-11-25,1,33,0,63,97,97,0
TaneiraWapp,918147747804,2024-11-25,0,1,0,0,1,1,0
CarzonrentWapp,918882222222,2024-11-26,12,2118,32,631,2793,2507,286
CarzonrentWapp,918882222222,2024-11-16,13,1237,62,544,1856,1568,288
VyaparAppWapp,918447702899,2024-11-17,13063,319297,32,16984,349376,335855,13521
TanishqWapp,918147747356,2024-11-17,0,2,0,1,3,3,0
SoundscapeWapp,917795967414,2024-11-18,4,136,0,45,185,183,2
MediScanWapp,919148229992,2024-11-18,12,377,9,114,512,480,32
SELECTEDHOMMEWapp,918655628715,2024-11-19,814,14184,0,8710,23708,23635,73
MahindraTractorsWapp,917738038456,2024-11-19,648,10176,22,5762,16608,11473,5135
FatakPayWapp1,918828855383,2024-11-19,248,3066,0,725,4039,3831,208
SoundscapeWapp,917795967414,2024-11-20,3,107,0,47,157,148,9
Imagine_LM,916366310359,2024-11-20,15,1558,0,198,1771,1759,12
RafterWapp,919606790640,2024-11-20,505,3055,0,1683,5243,4687,556
IcatWapp,917824831993,2024-11-20,49,1662,0,146,1857,1712,145
FatakPayWapp1,918828855383,2024-11-20,965,7862,0,717,9544,9067,477
V2RetailWapp,918130907705,2024-11-21,0,348,0,2,350,348,2
Imagine_LM,916366310359,2024-11-21,2,1174,4,184,1364,1335,29
KaamProKaamPro_tech8662Wapp,917240066111,2024-11-21,0,1,0,0,1,1,0
encircle,918147745515,2024-11-22,0,0,1,0,1,1,0
FatakPayWapp1,918828855360,2024-11-22,9409,44606,0,4761,58776,54053,4723
SoundscapeWapp,918951928356,2024-11-23,5,330,0,402,737,718,19
Imagine_WSOFT,917795967412,2024-11-24,0,0,0,674,674,674,0
CarzonrentWapp,918882222222,2024-11-25,61,2201,0,538,2800,2503,297
1ststepWapp,919940924255,2024-11-26,2,192,0,16,210,194,16
MediScanWapp,919148229992,2024-11-26,9,311,0,114,434,397,37
RagavsresearchWapp,919538821110,2024-11-26,7,433,0,77,517,486,31
SoundscapeWapp,917795967414,2024-11-30,3,75,0,52,130,124,6
